k,f1_score
3,0.7676767676767676
3,0.7841191066997518
3,0.7874396135265701
3,0.8
3,0.7853658536585366
3,0.7960687960687961
3,0.803921568627451
3,0.8280871670702179
3,0.7333333333333333
3,0.7570332480818415
3,0.7921760391198044
3,0.801980198019802
3,0.8115942028985508
3,0.7676767676767676
3,0.8137254901960784
3,0.7830423940149626
3,0.78
3,0.8155339805825242
3,0.800982800982801
3,0.7338501291989664
3,0.7821782178217822
3,0.760705289672544
3,0.7525773195876289
3,0.7961165048543689
3,0.7493670886075949
3,0.7780548628428927
3,0.8155339805825242
3,0.7324675324675325
3,0.8282352941176471
3,0.7990196078431373
5,0.8163265306122449
5,0.7542372881355932
5,0.7647058823529411
5,0.8221343873517787
5,0.8097165991902834
5,0.7647058823529411
5,0.8537549407114624
5,0.8016528925619835
5,0.7622950819672131
5,0.7901234567901234
5,0.824
5,0.8114754098360656
5,0.8148148148148148
5,0.7836734693877551
5,0.7341772151898734
5,0.7217391304347827
5,0.7918367346938775
5,0.8458498023715415
5,0.8306451612903226
5,0.784
5,0.8112449799196787
5,0.7933884297520661
5,0.7833333333333333
5,0.7918367346938775
5,0.8178137651821862
5,0.803347280334728
5,0.8016528925619835
5,0.7836734693877551
5,0.7654320987654321
5,0.8353413654618473
5,0.8145161290322581
5,0.8264462809917356
5,0.7818930041152263
5,0.7950819672131147
5,0.7868852459016393
5,0.759493670886076
5,0.7818930041152263
5,0.8016528925619835
5,0.8379446640316206
5,0.7673469387755102
5,0.8
5,0.8032786885245902
5,0.8163265306122449
5,0.7918367346938775
5,0.7950819672131147
5,0.7327586206896551
5,0.8292682926829268
5,0.8455284552845529
5,0.8174603174603174
5,0.7901234567901234
10,0.8455284552845529
10,0.8387096774193549
10,0.7350427350427351
10,0.7666666666666667
10,0.8
10,0.7586206896551724
10,0.832
10,0.796875
10,0.8130081300813008
10,0.828125
10,0.8346456692913385
10,0.7142857142857143
10,0.8387096774193549
10,0.9022556390977443
10,0.8225806451612904
10,0.7967479674796748
10,0.7804878048780488
10,0.7580645161290323
10,0.8571428571428571
10,0.7642276422764228
10,0.819672131147541
10,0.8095238095238095
10,0.7692307692307693
10,0.8854961832061069
10,0.8387096774193549
10,0.8346456692913385
10,0.8225806451612904
10,0.7457627118644068
10,0.784
10,0.6842105263157895
10,0.7368421052631579
10,0.7627118644067796
10,0.8130081300813008
10,0.7804878048780488
10,0.8721804511278195
10,0.832
10,0.7804878048780488
10,0.832
10,0.8095238095238095
10,0.8099173553719008
10,0.873015873015873
10,0.8064516129032258
10,0.8346456692913385
10,0.8
10,0.7933884297520661
10,0.7580645161290323
10,0.7967479674796748
10,0.7350427350427351
10,0.7874015748031497
10,0.8387096774193549
10,0.7796610169491526
10,0.7652173913043478
10,0.8
10,0.8
10,0.7833333333333333
10,0.8307692307692308
10,0.7317073170731707
10,0.8346456692913385
10,0.84375
10,0.8527131782945736
10,0.8455284552845529
10,0.8091603053435115
10,0.8548387096774194
10,0.7796610169491526
10,0.832
10,0.7226890756302521
10,0.8099173553719008
10,0.8099173553719008
10,0.7967479674796748
10,0.7933884297520661
10,0.7899159663865546
10,0.75
10,0.7768595041322314
10,0.8064516129032258
10,0.8571428571428571
10,0.7394957983193278
10,0.8099173553719008
10,0.8656716417910447
10,0.75
10,0.7768595041322314
10,0.7521367521367521
10,0.8360655737704918
10,0.8064516129032258
10,0.7704918032786885
10,0.8225806451612904
10,0.7521367521367521
10,0.8130081300813008
10,0.819672131147541
10,0.7899159663865546
10,0.8615384615384616
10,0.7540983606557377
10,0.7652173913043478
10,0.7521367521367521
10,0.8064516129032258
10,0.8571428571428571
10,0.848
10,0.8549618320610687
10,0.7804878048780488
10,0.8
10,0.7642276422764228
